TIME,Cp:1
0,0
0.02,0.19702321
0.04,0.38818468
0.06,0.57362
0.08,0.75346185
0.1,0.92784013
0.12,1.09688193
0.14,1.26071169
0.16,1.41945114
0.18,1.57321947
0.2,1.72213329
0.22,1.86630674
0.24,2.00585151
0.26,2.1408769
0.28,2.27148987
0.3,2.39779511
0.32,2.51989503
0.34,2.63788987
0.36,2.7518777
0.38,2.86195449
0.4,2.96821413
0.42,3.07074852
0.44,3.16964753
0.46,3.26499913
0.48,3.35688938
0.5,3.44540246
0.52,3.53062075
0.54,3.61262483
0.56,3.69149354
0.58,3.76730401
0.6,3.84013168
0.62,3.91005036
0.64,3.97713225
0.66,4.04144797
0.68,4.1030666
0.7,4.16205571
0.72,4.21848139
0.74,4.27240829
0.76,4.32389963
0.78,4.37301725
0.8,4.41982163
0.82,4.4643719
0.84,4.50672592
0.86,4.54694024
0.88,4.58507018
0.9,4.62116983
0.92,4.65529208
0.94,4.68748865
0.96,4.71781011
0.98,4.7463059
1,4.77302436
1.02,4.79801276
1.04,4.82131731
1.06,4.84298318
1.08,4.86305453
1.1,4.88157452
1.12,4.89858538
1.14,4.91412833
1.16,4.9282437
1.18,4.94097091
1.2,4.95234847
1.22,4.96241403
1.24,4.97120438
1.26,4.97875548
1.28,4.98510246
1.3,4.99027967
1.32,4.99432064
1.34,4.99725818
1.36,4.9991243
1.38,4.99995031
1.4,4.99976679
1.42,4.9986036
1.44,4.99648994
1.46,4.9934543
1.48,4.98952453
1.5,4.98472784
1.52,4.97909079
1.54,4.97263933
1.56,4.96539879
1.58,4.95739393
1.6,4.94864891
1.62,4.93918733
1.64,4.92903224
1.66,4.91820612
1.68,4.90673094
1.7,4.89462815
1.72,4.88191868
1.74,4.86862296
1.76,4.85476095
1.78,4.8403521
1.8,4.82541542
1.82,4.80996945
1.84,4.79403229
1.86,4.77762159
1.88,4.76075458
1.9,4.74344808
1.92,4.72571847
1.94,4.70758176
1.96,4.68905355
1.98,4.67014907
2,4.65088315
2.02,4.63127028
2.04,4.61132458
2.06,4.59105981
2.08,4.57048939
2.1,4.54962641
2.12,4.52848363
2.14,4.50707348
2.16,4.48540809
2.18,4.46349926
2.2,4.4413585
2.22,4.41899704
2.24,4.3964258
2.26,4.37365543
2.28,4.3506963
2.3,4.32755851
2.32,4.3042519
2.34,4.28078606
2.36,4.2571703
2.38,4.23341373
2.4,4.20952517
2.42,4.18551323
2.44,4.1613863
2.46,4.13715253
2.48,4.11281984
2.5,4.08839596
2.52,4.06388839
2.54,4.03930443
2.56,4.0146512
2.58,3.98993558
2.6,3.96516429
2.62,3.94034387
2.64,3.91548064
2.66,3.89058079
2.68,3.86565028
2.7,3.84069495
2.72,3.81572045
2.74,3.79073225
2.76,3.76573569
2.78,3.74073594
2.8,3.71573802
2.82,3.6907468
2.84,3.66576701
2.86,3.64080324
2.88,3.61585991
2.9,3.59094136
2.92,3.56605174
2.94,3.54119513
2.96,3.51637542
2.98,3.49159643
3,3.46686183
3.02,3.44217519
3.04,3.41753995
3.06,3.39295944
3.08,3.36843689
3.1,3.34397543
3.12,3.31957805
3.14,3.29524769
3.16,3.27098714
3.18,3.24679913
3.2,3.22268628
3.22,3.19865111
3.24,3.17469608
3.26,3.15082352
3.28,3.12703571
3.3,3.10333482
3.32,3.07972296
3.34,3.05620216
3.36,3.03277434
3.38,3.00944138
3.4,2.98620508
3.42,2.96306715
3.44,2.94002925
3.46,2.91709296
3.48,2.89425979
3.5,2.8715312
3.52,2.84890857
3.54,2.82639323
3.56,2.80398645
3.58,2.78168943
3.6,2.75950331
3.62,2.7374292
3.64,2.71546814
3.66,2.6936211
3.68,2.67188902
3.7,2.65027279
3.72,2.62877325
3.74,2.60739117
3.76,2.58612731
3.78,2.56498235
3.8,2.54395695
3.82,2.52305171
3.84,2.50226721
3.86,2.48160398
3.88,2.46106249
3.9,2.4406432
3.92,2.42034652
3.94,2.40017283
3.96,2.38012246
3.98,2.36019572
4,2.34039289
4.02,2.32071419
4.04,2.30115985
4.06,2.28173004
4.08,2.2624249
4.1,2.24324456
4.12,2.22418911
4.14,2.2052586
4.16,2.18645308
4.18,2.16777256
4.2,2.14921703
