TIME,Cp[0]:1,Cp[1]:1,Cp[2]:1,Cp[3]:1,Cp[4]:1,Cp[5]:1,Cp[6]:1,Cp[7]:1,Cp[8]:1,Cp[9]:1,Cp[10]:1,Cp[11]:1,Cp[12]:1,Cp[13]:1,Cp[14]:1,Cp[15]:1,Cp[16]:1,Cp[17]:1,Cp[18]:1,Cp[19]:1,Cp[20]:1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.20387267,0.1724582,0.1732766,0.18858999,0.19363158,0.19958184,0.21310112,0.21989219,0.18147444,0.1884636,0.20910407,0.18239708,0.15288402,0.21302369,0.17810455,0.21781952,0.24254897,0.18110723,0.20390754,0.22392056,0.21423779
0.04,0.39451092,0.436645,0.39776291,0.40968432,0.39964867,0.41914906,0.40656969,0.41569387,0.38844968,0.43721747,0.40040956,0.44913262,0.41808146,0.40051759,0.40146749,0.38768585,0.3951935,0.43876937,0.39196117,0.36183181,0.40264478
0.06,0.6792259,0.49053621,0.59523153,0.61326646,0.52645476,0.60581571,0.59119963,0.57741062,0.57067328,0.58806117,0.55449734,0.62098337,0.5909401,0.57885178,0.597161,0.67223998,0.60822777,0.55634474,0.68311293,0.43156486,0.56993795
0.08,0.76677938,0.79923819,0.68880633,0.8061908,0.74293419,0.76412698,0.69109006,0.77322113,0.57240546,0.75138263,0.67384635,0.77433212,0.70875082,0.70184423,0.74956406,0.76507308,0.79632442,0.6157819,0.67083753,0.76764079,0.63462923
0.1,0.86036504,0.968262,0.98215415,0.89395121,1.06451374,0.93377517,0.98250539,0.95122357,0.96337731,0.83381977,0.85343688,0.94751935,0.76843833,0.93318622,1.07668354,0.93635715,1.03400155,0.92982493,1.01305703,0.83781387,0.92702866
0.12,0.7979366,1.03430909,1.19475881,1.19071272,1.13863855,0.96800025,0.98494654,0.97753371,1.16120746,1.10412702,1.08453183,1.11899216,1.040058,0.98744629,1.17785782,1.13397402,1.08164156,1.04383113,1.235319,1.0717859,1.06900478
0.14,1.36071455,1.49901656,1.21082375,1.23818681,1.2689624,1.12839105,1.47327773,1.1848737,1.41102357,1.33800064,1.2010292,1.28529048,1.44868838,1.2057239,1.31515729,1.35858712,1.1443716,1.46743271,1.34181747,1.47731618,1.25128616
0.16,1.56724202,1.30197774,1.3109356,1.74221045,1.33395842,1.24869594,1.45915139,1.87245718,1.42111314,1.77368587,1.52627047,1.1318759,1.23747038,1.14024325,1.5810274,1.23615052,1.49845656,1.22575881,1.30505071,1.53452069,1.58636107
0.18,1.36780527,1.42760325,1.37459123,1.63051828,1.65221059,1.52999127,1.66763547,1.7605377,1.49871352,1.62531712,1.47325069,1.41542645,1.65729669,1.54554426,1.5194892,1.41699215,1.5628456,1.71197191,1.98955389,1.52779636,1.40133681
0.2,1.88471903,1.92597814,1.40501839,1.6444765,1.8617233,1.78776991,1.47830647,1.85266997,1.73487537,1.63000678,1.65901471,1.78717093,1.90210505,1.81037632,1.77654125,1.56412616,1.7836472,1.53839103,1.82355389,1.93982158,1.71703306
0.22,2.26233095,1.8749011,1.89496683,1.12684652,1.51199951,1.60795831,2.13557879,1.98895502,1.67242467,1.992253,1.72827618,1.72527394,1.7298561,2.17636261,1.57861318,1.7206596,2.12249795,2.10931831,2.05333986,1.78625817,1.65964665
0.24,2.32634942,2.05259018,1.75567941,2.32476434,1.95671844,1.93692043,2.00268767,2.12292142,2.34204216,2.02882808,2.43692313,2.0595614,1.73374084,1.99465721,1.89561303,1.73964211,1.7450502,1.86761303,1.93317305,1.84913668,2.15514734
0.26,2.26022373,2.18784468,2.05128877,2.24239429,2.04842093,2.3307342,2.31477534,2.36814006,1.92939599,2.11903934,2.09336507,2.34475955,2.24880871,2.19487339,2.00226311,2.3233165,2.32282288,2.24849214,2.43718002,2.27404049,1.82953723
0.28,2.48212893,2.33138612,2.06342398,1.95093986,2.11389868,2.20147069,2.00191014,2.34693873,2.38476236,2.21815513,2.57039097,2.20693774,2.37055955,1.96335033,2.10358515,2.32571711,2.12349021,2.22677189,2.4599234,2.39216641,2.46209647
0.3,2.55311776,2.38281063,2.33568905,2.1949404,2.65719263,2.18082998,2.48781552,2.48565722,2.51851581,2.50724731,2.3549753,2.30363081,2.49710038,2.60063812,2.41117844,2.4560213,2.17575794,2.00341204,2.19018401,2.40715796,2.40642997
0.32,2.49941431,2.63727952,2.37052381,2.42520727,2.42742824,2.4822708,2.44188839,2.41168107,2.57774982,2.11238788,2.64389869,2.50437075,2.08112268,2.44206247,2.72614004,2.61749954,2.53620448,2.88197039,2.59792523,2.5334199,2.25916366
0.34,2.43860008,2.37747179,2.47369683,2.5329856,2.62766827,2.68701477,2.81905241,2.71794336,2.49937338,2.36937427,2.61811551,2.44376703,3.0708748,2.37846031,2.3183385,2.74053907,2.90429797,2.60231729,2.89127149,2.46384185,2.69244428
0.36,2.51963316,3.1135203,2.78350535,2.76418815,3.17377616,2.41387367,2.8999143,3.00793365,2.78723043,2.76776197,2.68924553,3.5242481,2.87218289,2.54457788,2.74953477,3.3137737,2.90293072,2.61522002,2.45120746,2.48251969,2.65474688
0.38,2.35639672,2.80880455,2.61854038,2.82054236,2.46415166,3.55190623,2.91767783,2.82625349,2.70769149,2.71463372,3.18351529,2.93034187,2.95835494,2.59190883,2.71829363,2.48913319,2.95262974,3.04904782,2.8531282,2.90235067,3.34540016
0.4,2.86599239,3.08682532,2.71656677,3.42107127,2.82272674,3.54191369,3.09777813,3.22819168,2.60854451,3.13884725,2.55293832,3.21455044,3.0050513,2.45684668,2.32482414,2.97999885,3.14417695,2.26670041,3.29605058,3.04531245,2.91947533
0.42,2.6950155,2.38120529,3.06836173,3.33427551,2.69647997,2.46579732,3.26813935,3.10814501,3.03388722,2.80866229,3.0507754,3.21507028,3.5214134,3.51672178,2.39388653,3.26222206,3.07366397,3.18630453,2.93245648,3.0666056,3.5713469
0.44,2.95638018,3.09832614,3.16167752,2.79589537,3.22964639,2.55701676,3.53007005,3.20966998,2.67968636,3.73354793,2.8073767,3.03745398,3.19908512,2.87188228,3.05164023,3.21867375,3.12135584,3.27737861,3.82257693,3.02161933,3.10544372
0.46,3.45055291,3.904243,3.46940993,3.77292413,3.19381152,3.01536476,3.7207022,3.78499495,2.85143547,3.13065163,3.44194123,3.64750875,3.2944071,3.39833485,3.3320821,3.44304771,3.36820931,2.95352,2.87865635,2.85962579,3.51247489
0.48,2.8950948,2.98024323,4.03693032,3.34146232,3.36553805,3.86731246,2.69637611,3.73519707,3.28023773,2.9232508,3.39465921,3.52606422,3.25024072,3.34429817,3.35510244,3.56318477,4.0048151,3.26394651,2.67369752,3.10435612,2.87757704
0.5,2.91627135,3.32200879,2.99114864,3.23753854,3.55530438,3.40830544,3.45138535,3.65477179,3.43695879,3.39189164,3.90778699,2.8636951,4.07045953,3.61125781,3.06915237,4.18605005,3.13566868,2.99189292,3.30781937,4.16615864,3.26400636
0.52,3.43569091,3.53642666,3.31903454,3.21388982,4.0389514,3.98705012,3.51698175,3.82497523,3.41671253,3.43047209,3.25808095,3.93884749,3.4944716,3.13344186,4.41263476,3.39576764,4.07420949,3.79935001,3.73574074,2.53755162,3.89000288
0.54,2.83067992,3.7421061,3.90957432,3.24268719,3.38937545,3.79687174,3.58570381,2.98791267,3.86996034,3.73465653,3.73594713,3.6558947,3.52489089,3.71319514,3.7870245,3.42061137,2.92963807,3.58032217,3.11113871,3.5781165,3.95925531
0.56,3.70568516,3.74739291,4.02048407,3.13105762,3.39452852,3.58846882,2.70466192,3.67195198,4.13689033,3.77966396,3.63069384,3.41243082,3.53719159,3.46082505,3.42278934,3.36777218,3.69103263,3.8326255,3.65148087,3.11802587,4.23382388
